Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,79843,2021-11-16,15929,19.95040267
Mongolia,3398373,2021-12-07,677859,19.94657443
San Marino,33690,2021-12-14,6719,19.94360344
Andorra,79843,2021-11-15,15907,19.92284859
Gibraltar,32677,2021-11-14,6509,19.91920923
Mongolia,3398373,2021-12-06,676859,19.91714859
Czechia,10493990,2021-11-26,2089857,19.91479885
Mongolia,3398373,2021-12-05,676062,19.89369619
Seychelles,107135,2021-09-24,21281,19.86372334
Seychelles,107135,2021-09-25,21281,19.86372334
Seychelles,107135,2021-09-26,21281,19.86372334
Mongolia,3398373,2021-12-04,674951,19.86100407
Georgia,3744385,2021-11-05,743511,19.85669209
Slovenia,2119843,2021-11-30,420898,19.85514965
Montenegro,627082,2021-09-16,124485,19.85147078
Mongolia,3398373,2021-12-03,674029,19.83387344
Slovakia,5643455,2021-11-25,1119111,19.83024583
Andorra,79843,2021-11-12,15819,19.81263229
Andorra,79843,2021-11-13,15819,19.81263229
Andorra,79843,2021-11-14,15819,19.81263229
Gibraltar,32677,2021-11-13,6464,19.78149769
Mongolia,3398373,2021-12-02,672184,19.77958276
Seychelles,107135,2021-09-22,21180,19.76944976
Seychelles,107135,2021-09-23,21180,19.76944976
Slovenia,2119843,2021-11-29,418413,19.73792399
Montenegro,627082,2021-09-15,123755,19.73505857
Mongolia,3398373,2021-12-01,670381,19.72652796
Andorra,79843,2021-11-10,15744,19.71869794
Andorra,79843,2021-11-11,15744,19.71869794
Georgia,3744385,2021-11-04,738171,19.71407855
Slovenia,2119843,2021-11-28,417376,19.68900527
Andorra,79843,2021-11-09,15717,19.68488158
Seychelles,107135,2021-09-21,21077,19.67330938
Andorra,79843,2021-11-08,15705,19.66985208
Mongolia,3398373,2021-11-30,668402,19.66829421
Czechia,10493990,2021-11-25,2062064,19.64995202
Mongolia,3398373,2021-11-29,667361,19.6376619
Montenegro,627082,2021-09-14,123129,19.63523112
Slovenia,2119843,2021-11-27,415898,19.61928313
Mongolia,3398373,2021-11-28,666293,19.6062351
Slovakia,5643455,2021-11-24,1105970,19.59739202
Georgia,3744385,2021-11-03,732965,19.5750437
Mongolia,3398373,2021-11-27,665104,19.57124777
Seychelles,107135,2021-09-20,20961,19.56503477
Andorra,79843,2021-11-04,15618,19.56088824
Andorra,79843,2021-11-05,15618,19.56088824
Andorra,79843,2021-11-06,15618,19.56088824
Andorra,79843,2021-11-07,15618,19.56088824
Gibraltar,32677,2021-11-12,6385,19.53973743
Mongolia,3398373,2021-11-26,663274,19.51739847
Slovenia,2119843,2021-11-26,413664,19.51389796
Montenegro,627082,2021-09-13,122364,19.5132375
Andorra,79843,2021-11-03,15572,19.50327518
